73	614
74	682
75	0
76	590
77	652
78	0
79	576
80	620
81	0
82	567
83	660
84	0
85	567
86	0
87	0
88	593
89	603
90	0
91	516
92	605
93	0
94	586
95	547
96	0
97	518
98	583
99	0
100	527
101	584
102	0
103	534
104	0
105	0
106	542
107	670
108	0
109	582
110	628
111	0
112	581
113	618
114	0
115	565
116	538
117	0
118	532
119	0
120	0
121	573
122	632
123	0
124	532
125	601
126	0
127	550
128	595
129	0
130	590
131	584
132	0
133	548
134	560
135	0
136	541
137	555
138	0
139	575
140	597
141	0
142	646
143	568
144	0
145	575
146	580
147	0
148	513
149	600
150	0
151	525
152	578
153	0
154	568
155	568
156	0
157	526
158	537
159	0
160	524
161	573
162	0
163	509
164	583
165	0
166	533
167	612
168	0
169	568
170	570
171	0
172	525
173	488
174	0
175	610
176	598
177	0
178	544
179	548
180	0
181	559
182	594
183	0
184	559
185	565
186	0
187	597
188	529
189	0
190	560
191	521
192	0
193	515
194	550
195	0
196	550
197	557
198	0
199	558
200	506
201	0
202	546
203	574
204	0
205	541
206	591
207	0
208	573
209	529
210	0
211	532
212	545
213	0
214	558
215	545
216	0
217	546
218	586
219	0
220	491
221	578
222	0
223	503
224	550
225	0
226	497
227	500
228	0
229	513
230	550
231	0
232	526
233	559
234	0
235	500
236	576
237	0
238	592
239	507
240	0
241	504
242	563
243	0
244	502
245	516
246	0
247	493
248	551
249	0
250	501
251	561
252	0
253	514
254	512
255	0
256	508
257	540
258	0
259	504
260	538
261	0
262	543
263	515
264	0
265	507
266	568
